Logged GDP per capita,Perceptions of corruption,Healthy life expectancy,Social support,Country name,Ladder score
10.9346714,0.420607209,76.77170563,0.845969081,Hong Kong S.A.R. of China,5.510399818
10.07087517,0.916495264,70.21490479,0.874623716,Croatia,5.504700184
9.789815903,0.668779135,62.29999924,0.825942934,Libya,5.488800049
9.412186623,0.863511205,62.30448532,0.937142491,Mongolia,5.456200123
10.26251888,0.839302301,67.10215759,0.816509426,Malaysia,5.384300232
8.809545517,0.79642123,67.9527359,0.849987149,Vietnam,5.353499889
9.36975193,0.876296401,62.15584946,0.808379889,Indonesia,5.285600185
8.225561142,0.790771961,49.50377274,0.658048689,Ivory Coast,5.233300209
7.674319744,0.740532577,54.31246567,0.468671143,Benin,5.21600008
9.518632889,0.824211061,70.59999847,0.91316092,Maldives,5.197599888
8.536987305,0.751779079,57.92448044,0.640228093,Congo (Brazzaville),5.194399834
9.687726974,0.55253756,65.50839996,0.819308281,Azerbaijan,5.164800167
9.510591507,0.897490501,67.50442505,0.820392311,Macedonia,5.159800053
8.350645065,0.847964764,57.20398712,0.728601098,Ghana,5.147999763
7.925357342,0.738099158,63.77917862,0.785512447,Nepal,5.137199879
10.12941933,0.748197377,66.90281677,0.826313555,Turkey,5.131800175
9.688568115,0.7539711,69.2891922,0.798760593,China,5.123899937
9.74803257,0.883691847,62.21170807,0.958966196,Turkmenistan,5.119100094
9.869318962,0.935585141,66.80397797,0.937840343,Bulgaria,5.101500034
8.940313339,0.815724611,65.89624023,0.592628479,Morocco,5.094799995
8.118647575,0.851336598,52.7049408,0.700386405,Cameroon,5.084899902
8.977793694,0.837038398,66.50534058,0.890408158,Venezuela,5.053199768
9.537964821,0.735485137,65.90517426,0.803385139,Algeria,5.005099773
8.118982315,0.808785141,59.59915161,0.723616004,Senegal,4.980800152
7.750990391,0.761794448,54.46780014,0.637573481,Guinea,4.949299812
6.842166901,0.722530186,53.50009537,0.617435038,Niger,4.909599781
8.79858017,0.634679317,58.70992279,0.737502217,Laos,4.888599873
9.417930603,0.896303713,68.70813751,0.671070457,Albania,4.882699966
8.249890327,0.822769046,61.52996826,0.773080647,Cambodia,4.848400116
8.287063599,0.661843538,64.50306702,0.687292993,Bangladesh,4.832799911
9.680537224,0.849150956,59.71533966,0.787886858,Gabon,4.829299927
9.403370857,0.843423843,56.50601196,0.852532268,South Africa,4.814099789
9.661095619,0.82226181,59.90354919,0.747694969,Iraq,4.784800053
9.3617239,0.90225625,67.10658264,0.824338138,Lebanon,4.771500111
7.46854496,0.739795029,53.88945389,0.712943614,Burkina Faso,4.768700123
7.321814537,0.690717816,55.0120163,0.6931687,Gambia,4.750599861
7.629852295,0.839328408,51.72698212,0.731468976,Mali,4.729300022
8.57662487,0.861874342,49.86190796,0.73721689,Nigeria,4.724100113
9.100476265,0.773544788,66.75065613,0.757479429,Armenia,4.676799774
9.226100922,0.665944695,64.49520874,0.629033029,Georgia,4.672599792
9.813719749,0.714635968,66.00614929,0.694689691,Iran,4.672399998
9.025999069,0.700344324,66.79975128,0.80216372,Jordan,4.633399963
7.069345951,0.683019102,54.20582199,0.723874032,Mozambique,4.623600006
8.02977562,0.831499159,60.09693146,0.702652037,Kenya,4.583000183
9.203141212,0.851449788,56.50148773,0.846880972,Namibia,4.571100235
9.010690689,0.920636714,64.60678101,0.878879368,Ukraine,4.56069994
7.054380417,0.856375933,56.09631348,0.70928055,Liberia,4.557899952
8.389223099,0.824199975,62.25,0.825295925,Palestinian Territories,4.552800179
7.500389576,0.836737812,55.70820236,0.764994621,Uganda,4.43200016
7.467963696,0.802760839,48.22053909,0.632388055,Chad,4.422699928
9.314972878,0.867590249,66.89785767,0.688718557,Tunisia,4.392199993
8.233919144,0.746223509,57.01017761,0.790819228,Mauritania,4.374599934
9.389969826,0.859001756,67.20006561,0.825374067,Sri Lanka,4.327000141
6.694256306,0.809403598,52.90000153,0.672159016,Congo (Kinshasa),4.31099987
9.16267395,0.708263338,51.18823624,0.770290196,Swaziland,4.308100224
8.680481911,0.645124316,58.96171188,0.78440702,Myanmar,4.308000088
